"perGroup","nCtrl","nExp","Coverage","CpGcount","CpGtotal","CpGpercent"
0,0,0,1,354433,354433,100
5,1,2,1,354433,354433,100
10,2,3,1,354433,354433,100
15,4,4,1,348198,354433,98.240852290842
20,4,6,1,344844,354433,97.2945521438466
25,5,7,1,341017,354433,96.2147994120186
30,7,8,1,334599,354433,94.4040199417097
35,8,10,1,327684,354433,92.4530165080565
40,8,11,1,325161,354433,91.7411753420251
45,9,12,1,319672,354433,90.1925046482692
50,10,13,1,313457,354433,88.4389997545375
55,11,15,1,302616,354433,85.380311652696
60,13,16,1,288961,354433,81.52767942037
65,13,17,1,284717,354433,80.330273986903
70,15,19,1,260200,354433,73.4130286965379
75,15,20,1,253215,354433,71.4422754088925
80,16,21,1,236162,354433,66.6309288356333
85,17,23,1,201419,354433,56.8285120177862
90,18,24,1,171660,354433,48.4322848041802
95,19,25,1,131353,354433,37.0600367347284
100,20,26,1,70490,354433,19.8881029700959
